
METEOCLIMAT FANTOMON (MCL), 14 Avril
VOUS POUVEZ UTILISER CES DONNEES DE TEMPERATURE A CONDITION QUE CELA NE SOIT PAS COMMERCIAL.

Fantomon, 2020. Données de http://www.meteostats.bzh/index.php. Tous droits réservés.

FORMAT DU FICHIER (DONNEE MANQUANTE: -9999):

01-06 ID: Numéro ID de la station
08-15 DATE : Date YYYYMMDD
17-21 P   : Précipitations de la journée en 0,1mm
23-27 Q_P : validité de la p (0='valide'; 9='manquant')

Voici les données de Toulouse (Numéro d'identification du lieu: 9).
ALTITUDE: 151m
LATITUDE: 43°37'24"N           LONGITUDE: 01°22'42"E

    ID,    DATE,    P, Q_P
     9,17530707,-9999,    9
     9,18200111,-9999,    9
     9,18291226,-9999,    9
     9,18291227,-9999,    9
     9,18291229,-9999,    9
     9,18401217,-9999,    9
     9,18420108,-9999,    9
     9,18441209,-9999,    9
     9,18460707,-9999,    9
     9,18470214,-9999,    9
     9,18531130,-9999,    9
     9,18531230,-9999,    9
     9,18531231,-9999,    9
     9,18540101,-9999,    9
     9,18540215,-9999,    9
     9,18540302,-9999,    9
     9,18550120,-9999,    9
     9,18550310,-9999,    9
     9,18550401,-9999,    9
     9,18580107,-9999,    9
     9,18780101,    0,    0
     9,18780102,    0,    0
     9,18780103,    0,    0
     9,18780104,    0,    0
     9,18780105,   20,    0
     9,18780106,   30,    0
     9,18780107,   40,    0
     9,18780108,   50,    0
     9,18780109,    0,    0
     9,18780110,    0,    0
     9,18780111,    0,    0
     9,18780112,    0,    0
     9,18780113,    0,    0
     9,18780114,    0,    0
     9,18780115,    5,    0
     9,18780116,    0,    0
     9,18780117,    0,    0
     9,18780118,    0,    0
     9,18780119,    0,    0
     9,18780120,    0,    0
     9,18780121,    0,    0
     9,18780122,    0,    0
     9,18780123,   20,    0
     9,18780124,  390,    0
     9,18780125,   80,    0
     9,18780126,    5,    0
     9,18780127,    5,    0
     9,18780128,   50,    0
     9,18780129,    0,    0
     9,18780130,    0,    0
     9,18780131,    0,    0
     9,18780201,    0,    0
     9,18780202,    0,    0
     9,18780203,    0,    0
     9,18780204,    0,    0
     9,18780205,    0,    0
     9,18780206,    0,    0
     9,18780207,    0,    0
     9,18780208,    0,    0
     9,18780209,    7,    0
     9,18780210,    0,    0
     9,18780211,   27,    0
     9,18780212,    0,    0
     9,18780213,    0,    0
     9,18780214,    0,    0
     9,18780215,    0,    0
     9,18780216,    0,    0
     9,18780217,    0,    0
     9,18780218,   38,    0
     9,18780219,    0,    0
     9,18780220,    0,    0
     9,18780221,    0,    0
     9,18780222,    0,    0
     9,18780223,    0,    0
     9,18780224,   16,    0
     9,18780225,    0,    0
     9,18780226,    0,    0
     9,18780227,    0,    0
     9,18780228,    5,    0
     9,18780301,    0,    0
     9,18780302,    4,    0
     9,18780303,    0,    0
     9,18780304,    0,    0
     9,18780305,    0,    0
     9,18780306,   13,    0
     9,18780307,   45,    0
     9,18780308,    0,    0
     9,18780309,    0,    0
     9,18780310,    0,    0
     9,18780311,    0,    0
     9,18780312,    0,    0
     9,18780313,   45,    0
     9,18780314,    0,    0
     9,18780315,    0,    0
     9,18780316,    0,    0
     9,18780317,    0,    0
     9,18780318,    0,    0
     9,18780319,   15,    0
     9,18780320,    0,    0
     9,18780321,    0,    0
     9,18780322,   16,    0
     9,18780323,    6,    0
     9,18780324,   57,    0
     9,18780325,   32,    0
     9,18780326,    0,    0
     9,18780327,    0,    0
     9,18780328,    0,    0
     9,18780329,  269,    0
     9,18780330,   16,    0
     9,18780331,   15,    0
     9,18780401,   97,    0
     9,18780402,   87,    0
     9,18780403,    0,    0
     9,18780404,   22,    0
     9,18780405,    0,    0
     9,18780406,    0,    0
     9,18780407,    0,    0
     9,18780408,    0,    0
     9,18780409,   19,    0
     9,18780410,   48,    0
     9,18780411,    7,    0
     9,18780412,    0,    0
     9,18780413,    0,    0
     9,18780414,    0,    0
     9,18780415,   53,    0
     9,18780416,   43,    0
     9,18780417,   85,    0
     9,18780418,   18,    0
     9,18780419,   13,    0
     9,18780420,  197,    0
     9,18780421,   38,    0
     9,18780422,   33,    0
     9,18780423,  111,    0
     9,18780424,  180,    0
     9,18780425,   54,    0
     9,18780426,   53,    0
     9,18780427,    0,    0
     9,18780428,    0,    0
     9,18780429,   76,    0
     9,18780430,   90,    0
     9,18780501,   72,    0
     9,18780502,   30,    0
     9,18780503,    0,    0
     9,18780504,    0,    0
     9,18780505,    0,    0
     9,18780506,  110,    0
     9,18780507,   13,    0
     9,18780508,    0,    0
     9,18780509,    0,    0
     9,18780510,    0,    0
     9,18780511,    0,    0
     9,18780512,    0,    0
     9,18780513,   51,    0
     9,18780514,  136,    0
     9,18780515,    0,    0
     9,18780516,    0,    0
     9,18780517,    0,    0
     9,18780518,    0,    0
     9,18780519,    0,    0
     9,18780520,    0,    0
     9,18780521,    8,    0
     9,18780522,    0,    0
     9,18780523,   27,    0
     9,18780524,  232,    0
     9,18780525,   17,    0
     9,18780526,    0,    0
     9,18780527,   80,    0
     9,18780528,    2,    0
     9,18780529,    0,    0
     9,18780530,    0,    0
     9,18780531,   57,    0
     9,18780601,    0,    0
     9,18780602,    0,    0
     9,18780603,    0,    0
     9,18780604,   33,    0
     9,18780605,    0,    0
     9,18780606,    0,    0
     9,18780607,    0,    0
     9,18780608,    0,    0
     9,18780609,    0,    0
     9,18780610,    0,    0
