
METEOCLIMAT FANTOMON (MCL), 14 Avril
VOUS POUVEZ UTILISER CES DONNEES DE TEMPERATURE A CONDITION QUE CELA NE SOIT PAS COMMERCIAL.

Fantomon, 2020. Données de http://www.meteostats.bzh/index.php. Tous droits réservés.

FORMAT DU FICHIER (DONNEE MANQUANTE: -9999):

01-06 ID: Numéro ID de la station
08-15 DATE : Date YYYYMMDD
17-21 TN   : Température Minimale de la journée en 0,1°C
23-27 Q_TN : validité de la tn (0='valide'; 9='manquant')

Voici les données de Toulouse (Numéro d'identification du lieu: 9).
ALTITUDE: 151m
LATITUDE: 43°37'24"N           LONGITUDE: 01°22'42"E

    ID,    DATE,   TN, Q_TN
     9,17530707,-9999,    9
     9,18200111, -138,    0
     9,18291226, -103,    0
     9,18291227, -125,    0
     9,18291229, -150,    0
     9,18401217,  -80,    0
     9,18420108, -115,    0
     9,18441209, -100,    0
     9,18460707,-9999,    9
     9,18470214,  -68,    0
     9,18531130,  -42,    0
     9,18531230, -154,    0
     9,18531231, -150,    0
     9,18540101,  -70,    0
     9,18540215,  -89,    0
     9,18540302,  -10,    0
     9,18550120, -107,    0
     9,18550310,  -39,    0
     9,18550401,  -20,    0
     9,18580107,  -80,    0
     9,18780101,   16,    0
     9,18780102,  -28,    0
     9,18780103,  -15,    0
     9,18780104,   -4,    0
     9,18780105,    7,    0
     9,18780106,   56,    0
     9,18780107,   65,    0
     9,18780108,   17,    0
     9,18780109,    8,    0
     9,18780110,  -19,    0
     9,18780111,  -31,    0
     9,18780112,  -75,    0
     9,18780113,  -91,    0
     9,18780114,  -64,    0
     9,18780115,  -32,    0
     9,18780116,   14,    0
     9,18780117,   25,    0
     9,18780118,   34,    0
     9,18780119,   10,    0
     9,18780120,  -10,    0
     9,18780121,    3,    0
     9,18780122,  -16,    0
     9,18780123,    1,    0
     9,18780124,   56,    0
     9,18780125,   52,    0
     9,18780126,    1,    0
     9,18780127,    2,    0
     9,18780128,   24,    0
     9,18780129,   40,    0
     9,18780130,   -4,    0
     9,18780131,  -14,    0
     9,18780201,   -7,    0
     9,18780202,  -25,    0
     9,18780203,   -3,    0
     9,18780204,  -19,    0
     9,18780205,    4,    0
     9,18780206,  -14,    0
     9,18780207,    2,    0
     9,18780208,    8,    0
     9,18780209,  -16,    0
     9,18780210,   -6,    0
     9,18780211,   24,    0
     9,18780212,   74,    0
     9,18780213,   14,    0
     9,18780214,   74,    0
     9,18780215,   67,    0
     9,18780216,   55,    0
     9,18780217,   85,    0
     9,18780218,   90,    0
     9,18780219,   46,    0
     9,18780220,    4,    0
     9,18780221,   14,    0
     9,18780222,   15,    0
     9,18780223,   24,    0
     9,18780224,   25,    0
     9,18780225,   39,    0
     9,18780226,   18,    0
     9,18780227,   24,    0
     9,18780228,   64,    0
     9,18780301,   64,    0
     9,18780302,   34,    0
     9,18780303,   94,    0
     9,18780304,   56,    0
     9,18780305,   61,    0
     9,18780306,   65,    0
     9,18780307,   74,    0
     9,18780308,   75,    0
     9,18780309,   76,    0
     9,18780310,   46,    0
     9,18780311,   49,    0
     9,18780312,   24,    0
     9,18780313,   66,    0
     9,18780314,   -2,    0
     9,18780315,  -10,    0
     9,18780316,    6,    0
     9,18780317,  -32,    0
     9,18780318,  -20,    0
     9,18780319,   28,    0
     9,18780320,   66,    0
     9,18780321,   21,    0
     9,18780322,   26,    0
     9,18780323,   46,    0
     9,18780324,   10,    0
     9,18780325,    6,    0
     9,18780326,    5,    0
     9,18780327,   -6,    0
     9,18780328,   55,    0
     9,18780329,   76,    0
     9,18780330,    6,    0
     9,18780331,    0,    0
     9,18780401,   36,    0
     9,18780402,   62,    0
     9,18780403,   81,    0
     9,18780404,   85,    0
     9,18780405,   98,    0
     9,18780406,   87,    0
     9,18780407,   95,    0
     9,18780408,  122,    0
     9,18780409,  109,    0
     9,18780410,  100,    0
     9,18780411,  112,    0
     9,18780412,   84,    0
     9,18780413,   56,    0
     9,18780414,   54,    0
     9,18780415,   85,    0
     9,18780416,  104,    0
     9,18780417,   96,    0
     9,18780418,  108,    0
     9,18780419,  116,    0
     9,18780420,   64,    0
     9,18780421,   87,    0
     9,18780422,   76,    0
     9,18780423,   94,    0
     9,18780424,   78,    0
     9,18780425,   61,    0
     9,18780426,   94,    0
     9,18780427,   76,    0
     9,18780428,   64,    0
     9,18780429,  124,    0
     9,18780430,  114,    0
     9,18780501,  120,    0
     9,18780502,  109,    0
     9,18780503,  105,    0
     9,18780504,  115,    0
     9,18780505,  116,    0
     9,18780506,  126,    0
     9,18780507,  114,    0
     9,18780508,   88,    0
     9,18780509,  106,    0
     9,18780510,  115,    0
     9,18780511,  130,    0
     9,18780512,  119,    0
     9,18780513,  119,    0
     9,18780514,  114,    0
     9,18780515,  122,    0
     9,18780516,  146,    0
     9,18780517,  125,    0
     9,18780518,  156,    0
     9,18780519,  154,    0
     9,18780520,  132,    0
     9,18780521,  107,    0
     9,18780522,   86,    0
     9,18780523,   85,    0
     9,18780524,  144,    0
     9,18780525,   91,    0
     9,18780526,   85,    0
     9,18780527,   75,    0
     9,18780528,   98,    0
     9,18780529,   92,    0
     9,18780530,  106,    0
     9,18780531,  140,    0
     9,18780601,  126,    0
     9,18780602,  124,    0
     9,18780603,  146,    0
     9,18780604,  164,    0
     9,18780605,  144,    0
     9,18780606,  118,    0
     9,18780607,  114,    0
     9,18780608,  165,    0
     9,18780609,  162,    0
     9,18780610,  142,    0
     9,18780611,  166,    0
     9,18780612,  118,    0
     9,18780613,   98,    0
     9,18780614,  132,    0
     9,18780615,  120,    0
     9,18780616,  115,    0
     9,18780617,   84,    0
     9,18780618,  116,    0
     9,18780619,  114,    0
     9,18780620,   96,    0
     9,18780621,  112,    0
     9,18780622,  146,    0
     9,18780623,  166,    0
     9,18780624,  154,    0
     9,18780625,  160,    0
     9,18780626,  174,    0
     9,18780627,  156,    0
     9,18780628,  164,    0
     9,18780629,  138,    0
     9,18780630,  134,    0
     9,18780701,  145,    0
     9,18780702,  158,    0
     9,18780703,  136,    0
     9,18780704,  128,    0
     9,18780705,  116,    0
     9,18780706,  108,    0
     9,18780707,  164,    0
     9,18780708,  148,    0
     9,18780709,  154,    0
     9,18780710,  152,    0
     9,18780711,  145,    0
     9,18780712,  144,    0
     9,18780713,  126,    0
     9,18780714,  172,    0
     9,18780715,  181,    0
     9,18780716,  196,    0
     9,18780717,  208,    0
     9,18780718,  194,    0
     9,18780719,  226,    0
     9,18780720,  188,    0
     9,18780721,  198,    0
     9,18780722,  198,    0
     9,18780723,  184,    0
     9,18780724,  170,    0
     9,18780725,  145,    0
     9,18780726,  139,    0
     9,18780727,  164,    0
     9,18780728,  155,    0
     9,18780729,  148,    0
     9,18780730,  188,    0
     9,18780731,  168,    0
     9,18780801,  142,    0
     9,18780802,  172,    0
     9,18780803,  146,    0
     9,18780804,  166,    0
     9,18780805,  166,    0
     9,18780806,  195,    0
     9,18780807,  160,    0
     9,18780808,  172,    0
     9,18780809,  150,    0
     9,18780810,  195,    0
     9,18780811,  146,    0
     9,18780812,  125,    0
     9,18780813,  151,    0
     9,18780814,  169,    0
     9,18780815,  193,    0
     9,18780816,  168,    0
     9,18780817,  150,    0
     9,18780818,  142,    0
     9,18780819,  175,    0
     9,18780820,  140,    0
     9,18780821,  140,    0
     9,18780822,  152,    0
     9,18780823,  156,    0
     9,18780824,  162,    0
     9,18780825,  150,    0
     9,18780826,  172,    0
     9,18780827,  179,    0
     9,18780828,  181,    0
     9,18780829,  214,    0
     9,18780830,  179,    0
     9,18780831,  155,    0
     9,18780901,  141,    0
     9,18780902,  134,    0
     9,18780903,  105,    0
     9,18780904,  154,    0
     9,18780905,  176,    0
     9,18780906,  194,    0
     9,18780907,  172,    0
     9,18780908,  175,    0
     9,18780909,  172,    0
     9,18780910,  138,    0
     9,18780911,  128,    0
     9,18780912,  151,    0
     9,18780913,  175,    0
     9,18780914,  126,    0
     9,18780915,  104,    0
     9,18780916,  150,    0
     9,18780917,  122,    0
     9,18780918,  106,    0
     9,18780919,  146,    0
     9,18780920,  116,    0
